symbol,avgMean,avgR,avgUV,avgS,avgM1,avgM3,avgM4,avgL,pctMean,pctR,pctUV,pctS,pctM1,pctM3,pctM4,pctL
rerg,4.61275889109276E-05,0.000322893122376493,0,0,0,0,0,0,0.00461275889109276,0.0322893122376493,0,0,0,0,0,0
si:ch73-252i11.1,0.000138382766732783,0.00096867936712948,0,0,0,0,0,0,0.0138382766732783,0.096867936712948,0,0,0,0,0,0
syn3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ptpro,0.0100123807145341,0.0238940910558605,0,0,0,0,0.0285714285714286,0.0176211453744493,0.987399794780128,2.2925411688731,0,0,0,0,2.85714285714286,1.76211453744493
eps8,0.0916391299703683,0.0164675492412012,0.15,0.0609756097560976,0.125,0.0958904109589041,0.1,0.0931403398363751,8.87370171897221,1.61446561188247,15,6.09756097560976,12.5,8.21917808219178,10,8.68470736312146
tbk1,0.0171261673753768,0.0171133354859541,0,0.0365853658536585,0,0.0136986301369863,0.0285714285714286,0.0239144115796098,1.70800397864658,1.67904423635777,0,3.65853658536585,0,1.36986301369863,2.85714285714286,2.39144115796098
gpr19,0.0063587761140696,0.00645786244752987,0,0,0,0.0136986301369863,0.0142857142857143,0.0100692259282568,0.63587761140696,0.645786244752987,0,0,0,1.36986301369863,1.42857142857143,1.00692259282568
crebl2,0.0673433492601278,0.0506942202131095,0,0.0853658536585366,0.0535714285714286,0.0684931506849315,0.1,0.113278791692889,6.00740413567542,4.87568614788505,0,7.31707317073171,5.35714285714286,6.84931506849315,7.14285714285714,10.509754562618
dusp16,0.00823359692391994,0.00419761059089441,0,0.0121951219512195,0,0.0273972602739726,0,0.0138451856513531,0.814369312098908,0.419761059089441,0,1.21951219512195,0,2.73972602739726,0,1.3215859030837
lrp6,0.000772412137030813,0.00226025185663545,0,0,0,0,0,0.00314663310258024,0.0772412137030813,0.226025185663545,0,0,0,0,0,0.314663310258024
mansc1,0.0126562710317642,0.0232483048111075,0,0.0365853658536585,0,0,0.0142857142857143,0.0144745122718691,1.26562710317642,2.32483048111075,0,3.65853658536585,0,0,1.42857142857143,1.44745122718691
si:zfos-932h1.2,0.00286774206619021,0.00322893122376493,0,0,0,0.0136986301369863,0,0.00314663310258024,0.286774206619021,0.322893122376493,0,0,0,1.36986301369863,0,0.314663310258024
cu856344.1,0.00352937937181687,0.00936390054891831,0,0.0121951219512195,0,0,0,0.00314663310258024,0.352937937181687,0.936390054891831,0,1.21951219512195,0,0,0,0.314663310258024
prr5b,0.000774763511921805,0.00290603810138844,0,0,0,0,0,0.00251730648206419,0.0774763511921805,0.290603810138844,0,0,0,0,0,0.251730648206419
phtf2,0.0247806101653711,0.0309977397481434,0,0.0487804878048781,0,0.0136986301369863,0.0428571428571429,0.0371302706104468,2.45085473816875,3.03519535033904,0,4.8780487804878,0,1.36986301369863,4.28571428571429,3.58716173694147
ptpn12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msgn1,9.22551778218553E-05,0.000645786244752987,0,0,0,0,0,0,0.00922551778218553,0.0645786244752987,0,0,0,0,0,0
si:ch211-51e12.7,0.278936384293896,0.228931223764934,0.5,0.24390243902439,0.214285714285714,0.301369863013699,0.171428571428571,0.292636878539962,22.4347993752866,19.5027445915402,35,19.5121951219512,17.8571428571429,26.027397260274,14.2857142857143,24.8584015103839
mrps10,0.084186033513066,0.0807232805941233,0.15,0.0853658536585366,0.0714285714285714,0.0684931506849315,0.0571428571428571,0.0761485210824418,8.30446006647477,7.58798837584759,15,8.53658536585366,7.14285714285714,6.84931506849315,5.71428571428571,7.30018879798616
tulp4a,0.000451870389545311,0.000645786244752987,0,0,0,0,0,0.00251730648206419,0.0451870389545311,0.0645786244752987,0,0,0,0,0,0.251730648206419
tmem181,0.00932641353699878,0.00710364869228285,0.05,0,0,0,0,0.00818124606670862,0.932641353699878,0.710364869228285,5,0,0,0,0,0.818124606670862
dynlt1,0.00287418762749991,0.00226025185663545,0,0.0121951219512195,0,0,0,0.00566393958464443,0.287418762749991,0.226025185663545,0,1.21951219512195,0,0,0,0.566393958464443
rpl18a,1.5513257313634,2.09880529544721,1.25,1.63414634146341,1.58928571428571,1.32876712328767,1.3,1.65827564505979,69.6078376487612,73.0707135938004,65,68.2926829268293,66.0714285714286,71.2328767123288,68.5714285714286,75.0157331655129
snora68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bx890562.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pthlha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpot,0.00867881312877449,0.0096867936712948,0,0,0.0178571428571429,0.0136986301369863,0,0.0195091252359975,0.863268553986356,0.936390054891831,0,0,1.78571428571429,1.36986301369863,0,1.95091252359975
rtcb,0.019499277509229,0.025508556667743,0,0.0609756097560976,0,0.0136986301369863,0.0142857142857143,0.0220264317180617,1.93608947424962,2.45398773006135,0,6.09756097560976,0,1.36986301369863,1.42857142857143,2.20264317180617
fbxo7,0.0172324653289655,0.0177591217307071,0,0.024390243902439,0,0.0410958904109589,0.0285714285714286,0.00881057268722467,1.71863377400545,1.74362286083306,0,2.4390243902439,0,4.10958904109589,2.85714285714286,0.881057268722467
cu855889.2,0.00423484699482157,0.000645786244752987,0,0.0121951219512195,0,0,0.0142857142857143,0.00251730648206419,0.423484699482157,0.0645786244752987,0,1.21951219512195,0,0,1.42857142857143,0.251730648206419
